Images,Labels,Number,Suit
./Kc/Kc - Copy (2).JPG,Kc,K,c
./Kc/Kc - Copy (3).JPG,Kc,K,c
./Kc/Kc - Copy.JPG,Kc,K,c
./Kc/Kc.JPG,Kc,K,c
./Kd/Kd - Copy (2).JPG,Kd,K,d
./Kd/Kd - Copy (3).JPG,Kd,K,d
./Kd/Kd - Copy.JPG,Kd,K,d
./Kd/Kd.JPG,Kd,K,d
./Kh/Kh - Copy (2).JPG,Kh,K,h
./Kh/Kh - Copy (3).JPG,Kh,K,h
./Kh/Kh - Copy.JPG,Kh,K,h
./Kh/Kh.JPG,Kh,K,h
./Ks/Ks - Copy (2).JPG,Ks,K,s
./Ks/Ks - Copy (3).JPG,Ks,K,s
./Ks/Ks - Copy.JPG,Ks,K,s
./Ks/Ks.JPG,Ks,K,s
./Qc/Qc - Copy (2).jpg,Qc,Q,c
./Qc/Qc - Copy (3).jpg,Qc,Q,c
./Qc/Qc - Copy.jpg,Qc,Q,c
./Qc/Qc.jpg,Qc,Q,c
./Qd/Qd - Copy (2).JPG,Qd,Q,d
./Qd/Qd - Copy (3).JPG,Qd,Q,d
./Qd/Qd - Copy.JPG,Qd,Q,d
./Qd/Qd.JPG,Qd,Q,d
./Qh/Qh - Copy (2).JPG,Qh,Q,h
./Qh/Qh - Copy (3).JPG,Qh,Q,h
./Qh/Qh - Copy.JPG,Qh,Q,h
./Qh/Qh.JPG,Qh,Q,h
./Qs/Qs - Copy (2).JPG,Qs,Q,s
./Qs/Qs - Copy (3).JPG,Qs,Q,s
./Qs/Qs - Copy.JPG,Qs,Q,s
./Qs/Qs.JPG,Qs,Q,s
